split,sample_id,best_pixel_t0,best_pixel_t1,best_pixel_t2,best_pixel_t3
train,ROIs2017_115_patch_69,29314,31400,4822,0
train,ROIs2017_130_patch_14,10191,16523,36828,1994
train,ROIs1970_83_patch_96,65184,209,143,0
train,ROIs2017_130_patch_77,12012,19990,28134,5400
train,ROIs1970_83_patch_252,60296,687,4553,0
train,ROIs2017_69_patch_252,61560,0,3946,30
train,ROIs1868_127_patch_248,56826,193,8517,0
train,ROIs2017_69_patch_132,59096,0,6440,0
train,ROIs2017_130_patch_255,7841,35205,9876,12614
train,ROIs1970_112_patch_13,38501,0,27035,0
train,ROIs1970_112_patch_122,15494,2,50040,0
train,ROIs2017_115_patch_210,20812,44724,0,0
train,ROIs2017_69_patch_15,53233,1,12302,0
train,ROIs1868_127_patch_242,53593,169,7271,4503
train,ROIs2017_130_patch_34,8702,9985,42718,4131
train,ROIs1970_83_patch_12,27436,1280,36820,0
train,ROIs1868_127_patch_159,48113,0,17423,0
train,ROIs1868_127_patch_204,57190,1844,6492,10
train,ROIs1970_57_patch_235,62538,147,99,2752
train,ROIs2017_69_patch_192,54217,0,11152,167
train,ROIs1970_112_patch_230,0,47886,17650,0
train,ROIs2017_115_patch_272,36771,27158,1607,0
train,ROIs1970_57_patch_160,59832,112,82,5510
train,ROIs2017_115_patch_185,25151,40385,0,0
train,ROIs2017_115_patch_22,19252,46237,47,0
train,ROIs1868_127_patch_149,30394,28917,6212,13
train,ROIs2017_130_patch_75,2376,24816,38199,145
train,ROIs2017_115_patch_178,38488,25678,1370,0
train,ROIs2017_69_patch_103,53494,0,12041,1
train,ROIs1970_112_patch_77,31262,228,34046,0
train,ROIs1970_57_patch_150,63867,60,161,1448
train,ROIs1970_112_patch_198,0,0,65536,0
train,ROIs2017_69_patch_91,58561,9,6966,0
train,ROIs2017_115_patch_154,19855,45511,170,0
train,ROIs2017_115_patch_46,8337,57196,3,0
train,ROIs1970_83_patch_73,55795,1227,8514,0
train,ROIs2017_130_patch_136,12362,29773,16942,6459
train,ROIs1970_57_patch_81,65188,7,57,284
train,ROIs1970_57_patch_45,64040,5,451,1040
train,ROIs2017_130_patch_158,4664,37570,11150,12152
train,ROIs1868_127_patch_121,46101,234,19201,0
train,ROIs2017_115_patch_28,3438,62093,5,0
train,ROIs1970_83_patch_51,37253,723,27560,0
train,ROIs2017_115_patch_87,24013,39378,2145,0
train,ROIs2017_130_patch_40,11926,14337,30673,8600
train,ROIs1868_127_patch_114,32829,28120,4529,58
train,ROIs1970_112_patch_204,13,4220,61303,0
train,ROIs2017_130_patch_41,5577,23637,33433,2889
train,ROIs1868_127_patch_195,49644,7628,8264,0
train,ROIs2017_115_patch_64,24841,40051,644,0
train,ROIs1970_57_patch_46,58776,11,988,5761
train,ROIs1970_112_patch_114,673,160,64703,0
train,ROIs2017_69_patch_45,59972,0,5564,0
train,ROIs1970_112_patch_28,5759,7957,51820,0
train,ROIs1970_112_patch_38,0,0,65536,0
train,ROIs1970_112_patch_259,0,19755,45781,0
train,ROIs1970_83_patch_106,38262,2350,24860,64
train,ROIs1970_112_patch_205,1283,26755,37498,0
train,ROIs1970_83_patch_197,31253,30249,4026,8
train,ROIs2017_69_patch_176,55679,0,9289,568
train,ROIs2017_69_patch_20,45688,0,19847,1
train,ROIs1970_83_patch_119,62233,44,3257,2
train,ROIs2017_130_patch_233,3457,6705,18191,37183
train,ROIs1970_57_patch_20,62497,4,213,2822
train,ROIs2017_130_patch_87,7645,7259,16995,33637
train,ROIs1970_112_patch_115,2555,1327,61654,0
train,ROIs1970_83_patch_237,61106,705,3725,0
train,ROIs2017_69_patch_260,49851,0,15360,325
train,ROIs1970_57_patch_216,64097,128,0,1311
train,ROIs2017_69_patch_258,51098,0,12918,1520
train,ROIs1970_112_patch_215,8574,18438,38524,0
train,ROIs2017_115_patch_213,34367,31169,0,0
train,ROIs2017_69_patch_241,51951,0,13236,349
train,ROIs1970_112_patch_108,0,0,65536,0
train,ROIs1868_127_patch_206,57131,856,7549,0
train,ROIs1868_127_patch_61,49159,8027,8350,0
train,ROIs2017_69_patch_127,56079,19,9438,0
train,ROIs2017_115_patch_255,41122,22767,1647,0
train,ROIs2017_69_patch_144,57797,0,7739,0
train,ROIs1970_83_patch_267,63456,15,2065,0
train,ROIs1868_127_patch_111,35966,14149,15382,39
train,ROIs1970_57_patch_10,65468,0,4,64
train,ROIs2017_115_patch_277,49795,10710,5031,0
train,ROIs1970_112_patch_14,31817,48,33671,0
train,ROIs1970_83_patch_279,56857,1029,7650,0
train,ROIs1970_83_patch_85,14001,9028,42507,0
train,ROIs1970_57_patch_52,65476,0,0,60
train,ROIs1970_57_patch_172,57403,30,152,7951
train,ROIs2017_130_patch_89,2975,2734,27148,32679
train,ROIs2017_69_patch_25,52016,0,13423,97
train,ROIs1970_83_patch_272,64096,297,1143,0
train,ROIs1970_83_patch_151,41533,492,23510,1
train,ROIs1970_83_patch_216,57604,4869,3063,0
train,ROIs1868_127_patch_193,40113,10853,14425,145
train,ROIs2017_69_patch_203,51220,0,14040,276
train,ROIs1970_83_patch_277,60526,489,4521,0
train,ROIs1970_83_patch_270,65147,1,388,0
train,ROIs2017_115_patch_187,51260,14276,0,0
train,ROIs2017_115_patch_137,5544,59113,879,0
train,ROIs1970_57_patch_51,65529,0,0,7
train,ROIs1970_57_patch_138,58156,78,118,7184
train,ROIs1970_57_patch_252,61274,242,126,3894
train,ROIs1868_127_patch_180,63129,576,1554,277
train,ROIs2017_115_patch_233,47238,18298,0,0
train,ROIs1868_127_patch_69,21016,894,43624,2
train,ROIs1868_127_patch_84,41578,457,23501,0
train,ROIs2017_130_patch_238,4248,45767,13604,1917
train,ROIs2017_69_patch_140,40297,0,25239,0
train,ROIs1868_127_patch_201,59863,432,473,4768
train,ROIs2017_130_patch_50,12443,26717,23813,2563
train,ROIs1970_112_patch_187,263,30164,35109,0
train,ROIs2017_115_patch_279,41291,17900,6345,0
train,ROIs1970_112_patch_130,21,1198,64317,0
train,ROIs2017_69_patch_124,57337,3,8196,0
train,ROIs2017_115_patch_1,30365,35171,0,0
train,ROIs1970_57_patch_14,63483,8,187,1858
train,ROIs1970_112_patch_201,25,228,65283,0
train,ROIs2017_69_patch_206,60090,0,5412,34
train,ROIs1970_112_patch_176,34851,549,30136,0
train,ROIs2017_69_patch_35,58687,0,6849,0
train,ROIs1970_57_patch_148,60556,156,93,4731
train,ROIs1868_127_patch_140,42617,2,22917,0
train,ROIs2017_130_patch_235,3193,30546,25424,6373
train,ROIs1970_83_patch_76,63017,322,2064,133
train,ROIs2017_115_patch_13,6973,58549,14,0
train,ROIs1970_112_patch_190,2416,39618,23502,0
train,ROIs2017_69_patch_196,57617,0,7589,330
train,ROIs1970_83_patch_23,33060,3835,28629,12
train,ROIs1970_83_patch_145,37149,5627,22419,341
train,ROIs2017_115_patch_48,7670,57624,242,0
train,ROIs1970_57_patch_74,61813,10,181,3532
train,ROIs1970_83_patch_205,40836,22588,1776,336
train,ROIs1970_83_patch_192,46463,17568,1505,0
train,ROIs1970_83_patch_253,63413,1030,1093,0
train,ROIs1868_127_patch_72,50861,12,14663,0
train,ROIs1970_112_patch_195,0,46834,18702,0
train,ROIs1970_83_patch_9,28072,512,36952,0
train,ROIs2017_69_patch_169,57147,0,8389,0
train,ROIs1970_83_patch_31,31029,1659,32848,0
train,ROIs1970_83_patch_211,45251,19478,807,0
train,ROIs2017_115_patch_49,28449,36973,114,0
train,ROIs1970_112_patch_0,0,0,65536,0
train,ROIs1970_83_patch_159,24154,13315,28055,12
train,ROIs1868_127_patch_86,22278,19,43234,5
train,ROIs1868_127_patch_107,27454,111,35821,2150
train,ROIs2017_69_patch_109,51379,39,14118,0
train,ROIs1970_57_patch_211,63704,76,81,1675
train,ROIs2017_115_patch_63,16165,49262,109,0
train,ROIs2017_130_patch_189,3866,24235,32660,4775
train,ROIs2017_69_patch_115,51772,0,13762,2
train,ROIs1970_57_patch_16,63485,1,910,1140
train,ROIs2017_69_patch_57,25507,0,40029,0
train,ROIs1970_57_patch_124,55362,50,174,9950
train,ROIs1970_83_patch_148,40396,7515,17625,0
train,ROIs1970_83_patch_112,26368,21514,17654,0
train,ROIs2017_69_patch_78,44887,0,20649,0
train,ROIs1970_83_patch_86,20533,1341,43662,0
train,ROIs2017_69_patch_158,50646,0,14888,2
train,ROIs1970_83_patch_54,47908,0,17628,0
train,ROIs1970_83_patch_177,52367,6196,6973,0
train,ROIs1868_127_patch_264,59807,347,5368,14
train,ROIs2017_130_patch_66,16232,41300,6662,1342
train,ROIs1970_83_patch_245,45735,9,19762,30
train,ROIs2017_130_patch_26,2259,18351,14161,30765
train,ROIs1970_57_patch_140,58836,7,406,6287
train,ROIs2017_69_patch_229,63813,0,1381,342
train,ROIs1970_57_patch_184,62090,110,222,3114
train,ROIs2017_130_patch_184,3141,38569,22263,1563
train,ROIs1970_112_patch_185,137,9429,55970,0
train,ROIs1970_57_patch_60,64629,2,233,672
train,ROIs1970_112_patch_119,4486,0,61050,0
train,ROIs2017_115_patch_221,40861,21150,3525,0
train,ROIs2017_115_patch_182,45792,18641,1103,0
train,ROIs1970_83_patch_278,59207,605,5724,0
train,ROIs2017_115_patch_136,3365,61919,252,0
train,ROIs1970_57_patch_73,60625,26,280,4605
train,ROIs1970_112_patch_44,11058,986,53492,0
train,ROIs1868_127_patch_15,27153,16663,21720,0
train,ROIs1970_57_patch_117,64995,26,4,511
train,ROIs1970_83_patch_101,35100,2457,27979,0
train,ROIs1970_57_patch_9,65503,1,5,27
train,ROIs1970_57_patch_35,65263,3,135,135
train,ROIs1970_57_patch_179,64880,48,1,607
train,ROIs1970_57_patch_5,62433,11,273,2819
train,ROIs1970_83_patch_142,52801,212,12421,102
train,ROIs2017_130_patch_220,8608,27504,27802,1622
train,ROIs1868_127_patch_165,48440,6724,5629,4743
train,ROIs2017_115_patch_172,27556,37980,0,0
train,ROIs1970_112_patch_68,1,72,65463,0
train,ROIs1970_83_patch_175,53009,1282,11244,1
train,ROIs2017_130_patch_1,2120,23679,39584,153
train,ROIs2017_115_patch_167,37547,27888,101,0
train,ROIs1970_83_patch_229,62993,337,2206,0
train,ROIs1868_127_patch_14,24922,31012,9602,0
train,ROIs1970_83_patch_60,26774,28421,5723,4618
train,ROIs1868_127_patch_212,26090,128,39318,0
train,ROIs1970_83_patch_92,34787,6168,24581,0
train,ROIs1970_83_patch_182,7951,55584,2001,0
train,ROIs2017_115_patch_145,15345,50125,66,0
train,ROIs1970_57_patch_236,61862,102,208,3364
train,ROIs1868_127_patch_10,41788,2459,21289,0
train,ROIs2017_69_patch_268,58718,0,6677,141
train,ROIs2017_130_patch_58,5548,11815,14483,33690
train,ROIs1970_57_patch_56,56183,79,859,8415
train,ROIs1970_57_patch_186,65351,6,13,166
train,ROIs1970_112_patch_161,1000,64513,23,0
train,ROIs1970_83_patch_164,30156,28729,6639,12
train,ROIs2017_115_patch_79,13126,52279,131,0
train,ROIs1970_83_patch_238,64879,2,655,0
train,ROIs2017_130_patch_93,3523,32050,29607,356
train,ROIs2017_115_patch_116,9819,55717,0,0
train,ROIs2017_130_patch_161,84,3206,4959,57287
train,ROIs1970_112_patch_47,17323,1943,46270,0
train,ROIs2017_115_patch_278,44319,17639,3578,0
train,ROIs1970_112_patch_184,0,1301,64235,0
train,ROIs2017_69_patch_12,51774,0,13762,0
train,ROIs1970_83_patch_181,22960,19479,22773,324
train,ROIs1970_57_patch_233,58839,274,401,6022
train,ROIs2017_69_patch_151,57150,0,8386,0
train,ROIs2017_130_patch_97,11475,29009,18786,6266
train,ROIs1970_112_patch_218,60,3655,61821,0
train,ROIs1868_127_patch_41,51642,4934,8960,0
train,ROIs1970_57_patch_31,62868,11,359,2298
train,ROIs2017_130_patch_99,9899,36466,11660,7511
train,ROIs1970_57_patch_59,64496,8,224,808
train,ROIs1970_83_patch_184,10076,54096,1364,0
train,ROIs1970_83_patch_69,29879,17881,17776,0
train,ROIs1868_127_patch_18,49341,0,16195,0
train,ROIs1970_112_patch_36,0,0,65536,0
train,ROIs2017_115_patch_219,40711,24529,296,0
train,ROIs1970_83_patch_2,40995,1,22459,2081
train,ROIs1970_112_patch_62,10037,4073,51426,0
train,ROIs2017_130_patch_59,21320,2588,13526,28102
train,ROIs2017_115_patch_206,38147,27369,20,0
train,ROIs1868_127_patch_66,34751,77,30708,0
train,ROIs1868_127_patch_51,39629,87,25820,0
train,ROIs2017_115_patch_150,53231,11488,817,0
train,ROIs2017_130_patch_162,6211,44399,14872,54
train,ROIs1970_83_patch_247,63816,0,1719,1
train,ROIs1970_57_patch_222,61541,131,24,3840
train,ROIs1868_127_patch_219,56257,1,716,8562
train,ROIs1970_112_patch_217,3,2619,62913,1
train,ROIs1970_83_patch_231,60165,4453,918,0
train,ROIs2017_115_patch_202,38288,25659,1589,0
train,ROIs2017_115_patch_205,35025,27871,2640,0
train,ROIs2017_130_patch_138,3605,34237,16062,11632
train,ROIs2017_130_patch_232,12301,32751,17106,3378
train,ROIs2017_130_patch_208,1029,9117,46594,8796
train,ROIs1970_57_patch_218,62466,79,44,2947
train,ROIs1970_83_patch_204,4045,61347,144,0
train,ROIs1868_127_patch_30,20621,17176,27739,0
train,ROIs2017_115_patch_135,3293,62218,25,0
train,ROIs2017_115_patch_235,28165,37370,1,0
train,ROIs2017_115_patch_147,28388,36071,1077,0
train,ROIs1970_112_patch_117,1057,432,64047,0
train,ROIs2017_69_patch_232,60921,0,3863,752
train,ROIs2017_130_patch_56,4518,30691,28642,1685
train,ROIs1868_127_patch_220,57897,0,126,7513
train,ROIs1970_83_patch_137,60148,101,5287,0
train,ROIs2017_69_patch_194,55280,0,10228,28
train,ROIs1868_127_patch_26,46924,853,17759,0
train,ROIs2017_69_patch_187,53200,0,12329,7
train,ROIs1970_112_patch_20,0,0,65536,0
train,ROIs2017_115_patch_8,7623,57913,0,0
train,ROIs2017_69_patch_267,64196,0,1275,65
train,ROIs1970_112_patch_159,45701,59,19776,0
train,ROIs1970_112_patch_193,4815,2188,58374,159
train,ROIs1868_127_patch_197,55222,42,10272,0
train,ROIs2017_115_patch_76,19315,46221,0,0
train,ROIs2017_130_patch_174,1650,14771,47168,1947
train,ROIs2017_130_patch_126,3810,46061,15649,16
train,ROIs1970_83_patch_232,57260,6229,2047,0
train,ROIs2017_69_patch_266,63495,0,1385,656
train,ROIs1970_57_patch_193,60282,36,650,4568
train,ROIs2017_69_patch_244,59161,0,6345,30
train,ROIs1970_83_patch_38,37606,572,22279,5079
train,ROIs1970_112_patch_8,54539,2,10995,0
train,ROIs2017_115_patch_171,31786,33750,0,0
train,ROIs2017_69_patch_264,52029,0,13411,96
train,ROIs2017_69_patch_7,47616,0,17905,15
train,ROIs1868_127_patch_73,52751,5,12674,106
train,ROIs1970_112_patch_2,0,0,65536,0
train,ROIs1970_83_patch_224,57899,2711,4926,0
train,ROIs2017_115_patch_4,14890,50646,0,0
train,ROIs2017_115_patch_266,42332,23202,2,0
train,ROIs2017_69_patch_168,52550,0,12986,0
train,ROIs1970_83_patch_50,26905,674,37957,0
train,ROIs1970_57_patch_28,56987,71,1940,6538
train,ROIs1970_112_patch_16,10623,224,54689,0
train,ROIs1868_127_patch_76,56322,0,8686,528
train,ROIs1970_83_patch_161,53390,1766,9381,999
train,ROIs2017_115_patch_157,14792,48179,2565,0
train,ROIs1868_127_patch_48,27856,7183,30496,1
train,ROIs1970_83_patch_144,37000,3817,23722,997
train,ROIs2017_130_patch_236,3703,46747,14940,146
train,ROIs1970_112_patch_211,11171,10283,35122,8960
train,ROIs2017_115_patch_107,4414,60873,249,0
train,ROIs1868_127_patch_176,48262,442,16832,0
train,ROIs2017_115_patch_151,50693,14728,115,0
train,ROIs2017_130_patch_180,3800,36265,25025,446
train,ROIs2017_69_patch_29,61258,0,4276,2
train,ROIs2017_115_patch_164,46536,18978,22,0
train,ROIs1868_127_patch_87,39949,40,25519,28
train,ROIs1868_127_patch_47,12047,43326,10163,0
train,ROIs1868_127_patch_194,36289,13409,15838,0
train,ROIs2017_130_patch_221,4295,31424,28741,1076
train,ROIs2017_115_patch_236,35002,30384,150,0
train,ROIs2017_115_patch_45,6084,59368,84,0
train,ROIs2017_69_patch_14,51493,0,14043,0
train,ROIs1970_83_patch_282,35083,1511,28919,23
train,ROIs1970_83_patch_200,22052,30035,13449,0
train,ROIs2017_69_patch_30,59950,0,5577,9
train,ROIs2017_130_patch_63,11331,18785,30668,4752
train,ROIs2017_115_patch_139,9371,55574,591,0
train,ROIs2017_69_patch_77,44318,0,21218,0
train,ROIs1970_83_patch_243,61707,179,3611,39
train,ROIs1970_57_patch_2,63650,24,206,1656
train,ROIs1970_83_patch_203,25505,38172,1859,0
train,ROIs1868_127_patch_70,17650,501,47383,2
train,ROIs1970_83_patch_134,64245,84,1207,0
train,ROIs2017_69_patch_13,61843,0,3693,0
train,ROIs1970_112_patch_206,4082,43824,17630,0
train,ROIs1970_83_patch_91,35410,8214,21912,0
train,ROIs2017_115_patch_54,49175,12057,4304,0
train,ROIs2017_69_patch_98,54250,0,11276,10
train,ROIs1970_83_patch_59,28459,2438,9834,24805
train,ROIs1970_83_patch_58,42472,1404,15817,5843
train,ROIs2017_115_patch_203,23896,41124,516,0
train,ROIs2017_130_patch_67,12040,30792,15302,7402
train,ROIs2017_69_patch_88,61980,0,3556,0
train,ROIs2017_115_patch_189,53288,12248,0,0
train,ROIs1970_112_patch_11,11727,43,53766,0
train,ROIs2017_115_patch_94,57522,7579,435,0
train,ROIs1868_127_patch_110,31059,19385,14592,500
train,ROIs2017_69_patch_50,62980,0,2556,0
train,ROIs2017_69_patch_233,62191,0,3311,34
train,ROIs1970_57_patch_237,60652,199,681,4004
train,ROIs2017_130_patch_157,940,25042,25641,13913
train,ROIs1970_112_patch_83,26485,6611,32440,0
train,ROIs1970_83_patch_3,36254,26,28981,275
train,ROIs2017_69_patch_138,49184,0,16000,352
train,ROIs1970_112_patch_139,19808,0,45728,0
train,ROIs1970_57_patch_228,62985,42,50,2459
train,ROIs2017_115_patch_193,42252,23280,4,0
train,ROIs2017_130_patch_125,5030,12965,36098,11443
train,ROIs1868_127_patch_221,61300,0,1704,2532
train,ROIs2017_115_patch_74,43833,19851,1852,0
train,ROIs2017_130_patch_134,2127,34787,25647,2975
train,ROIs1868_127_patch_71,22106,2771,40659,0
train,ROIs2017_69_patch_2,55917,0,9619,0
train,ROIs1970_57_patch_180,65383,6,1,146
train,ROIs2017_69_patch_215,60982,0,4398,156
train,ROIs2017_115_patch_118,4852,60124,560,0
train,ROIs2017_69_patch_120,51690,0,13740,106
train,ROIs2017_69_patch_280,56329,0,9204,3
train,ROIs1970_57_patch_176,63942,79,64,1451
train,ROIs2017_69_patch_265,52887,0,12047,602
train,ROIs2017_69_patch_200,58972,0,6530,34
train,ROIs1970_57_patch_132,64004,70,27,1435
train,ROIs1970_112_patch_49,1182,52,64302,0
train,ROIs2017_130_patch_171,5024,32964,26275,1273
train,ROIs1868_127_patch_226,56659,2376,6462,39
train,ROIs2017_130_patch_107,2472,6457,46337,10270
train,ROIs2017_130_patch_237,5029,43657,12984,3866
train,ROIs1970_83_patch_174,52117,5083,8329,7
train,ROIs1970_112_patch_222,0,7853,57683,0
train,ROIs1970_112_patch_158,11787,1,53748,0
train,ROIs1970_83_patch_100,37170,2192,26174,0
train,ROIs1970_83_patch_19,34375,16,30316,829
train,ROIs2017_115_patch_53,37638,24431,3467,0
train,ROIs1868_127_patch_62,40137,20503,4896,0
train,ROIs1970_57_patch_116,65432,2,1,101
train,ROIs2017_69_patch_87,60208,5,5323,0
train,ROIs2017_130_patch_256,5966,47758,10786,1026
train,ROIs2017_115_patch_62,24525,40821,190,0
train,ROIs2017_115_patch_7,13847,51689,0,0
train,ROIs1970_112_patch_254,0,3588,61948,0
train,ROIs2017_130_patch_225,2619,17314,42117,3486
train,ROIs1970_83_patch_235,61371,3791,374,0
train,ROIs1970_57_patch_110,60862,80,270,4324
train,ROIs2017_130_patch_86,9974,18281,13854,23427
train,ROIs2017_69_patch_278,43825,0,21459,252
train,ROIs2017_115_patch_179,39571,25302,663,0
train,ROIs2017_69_patch_282,57760,0,6181,1595
train,ROIs1970_57_patch_4,60654,50,418,4414
train,ROIs1970_112_patch_107,22357,22846,20333,0
train,ROIs1970_83_patch_67,33049,5618,26869,0
train,ROIs2017_115_patch_122,1791,63443,302,0
train,ROIs2017_115_patch_97,20725,44811,0,0
train,ROIs2017_115_patch_194,34959,30156,421,0
train,ROIs2017_115_patch_43,11484,54043,9,0
train,ROIs1970_57_patch_77,65106,6,69,355
train,ROIs1970_57_patch_65,63873,158,54,1451
train,ROIs2017_115_patch_26,18923,46603,10,0
train,ROIs2017_69_patch_220,59607,0,5321,608
train,ROIs1970_112_patch_152,15705,860,48971,0
train,ROIs2017_69_patch_134,57142,0,7793,601
train,ROIs1970_112_patch_92,2511,0,63025,0
train,ROIs2017_69_patch_86,58630,1,6904,1
train,ROIs2017_115_patch_249,24107,41429,0,0
