split,sample_id,mean_cloud_probability_t0,mean_cloud_probability_t1,mean_cloud_probability_t2,mean_cloud_probability_t3,mask_area_fraction_t0,mask_pixel_count_t0,category,has_any_threshold_clean_timestep,all_timesteps_have_detected_cloud,t0_not_detected_other_cloudy,t0_cloudy_later_cleaner,cleanest_timestep
train,ROIs1868_127_patch_157,0.096020594,0.690497,0.10318558,0.40368676,0.00439453125,288,light,True,False,False,False,0
train,ROIs2017_69_patch_123,0.032885272,0.5623607,0.037309065,0.5091437,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_69_patch_112,0.035322685,0.45922843,0.04219531,0.6354728,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1868_127_patch_250,0.10164552,0.4072082,0.10798228,0.52912915,0.030364990234375,1990,light,False,True,False,False,0
train,ROIs1970_112_patch_42,0.17123082,0.07862624,0.0642689,0.67193687,0.4088592529296875,26795,heavy,True,False,False,True,2
train,ROIs2017_115_patch_281,0.074009195,0.077450626,0.08202714,0.7405,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_115_patch_83,0.06772682,0.0631522,0.08500934,0.72248507,0.0017242431640625,113,light,True,False,True,False,1
train,ROIs2017_69_patch_163,0.04417496,0.5763738,0.04817767,0.4527586,0.000213623046875,14,light,True,False,False,False,0
train,ROIs1970_112_patch_5,0.038360745,0.11159076,0.027998015,0.6611797,0.0106048583984375,695,light,True,False,False,True,2
train,ROIs2017_115_patch_19,0.06554137,0.06151176,0.64116806,0.7149909,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs2017_69_patch_152,0.032735758,0.61031646,0.040887926,0.16051191,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_83_patch_169,0.09078513,0.15712234,0.091710806,0.16306496,0.008880615234375,582,light,True,False,False,False,0
train,ROIs1970_83_patch_271,0.08719355,0.14025961,0.10812232,0.35510978,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_57_patch_69,0.064089276,0.08201337,0.081619784,0.09927728,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_69_patch_31,0.032936502,0.5784605,0.03795863,0.61686575,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_57_patch_234,0.052195776,0.066530466,0.08383264,0.10174298,9.1552734375e-05,6,light,True,False,True,False,0
train,ROIs1868_127_patch_181,0.095459685,0.46738622,0.108799234,0.17416029,0.006591796875,432,light,False,True,False,False,0
train,ROIs2017_130_patch_137,0.093962654,0.07955344,0.0752948,0.14762321,0.007568359375,496,light,False,True,False,True,2
train,ROIs1970_112_patch_137,0.13038222,0.12359199,0.054345272,0.46275288,0.287811279296875,18862,medium,False,True,False,True,2
train,ROIs1970_57_patch_128,0.051991012,0.06469115,0.08246479,0.0883805,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_57_patch_53,0.070800886,0.090266556,0.0861054,0.10117953,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_130_patch_258,0.07519391,0.06312657,0.06800005,0.11693436,0.0015869140625,104,light,True,False,True,False,1
train,ROIs2017_115_patch_21,0.06559744,0.061176747,0.38172588,0.71219105,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs1970_57_patch_25,0.07525026,0.10512909,0.087690815,0.11761939,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_115_patch_270,0.066543385,0.06696741,0.61988664,0.73126143,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_207,0.11423136,0.09336819,0.086818404,0.11146853,0.0839385986328125,5501,light,True,False,False,True,2
train,ROIs2017_115_patch_14,0.067752786,0.06197271,0.08476192,0.7371391,0.0013427734375,88,light,True,False,True,False,1
train,ROIs1970_112_patch_242,0.616327,0.05065792,0.1454217,0.6583901,1.0,65536,heavy,True,False,False,True,1
train,ROIs1868_127_patch_148,0.10754268,0.19319257,0.109537296,0.29393515,0.23272705078125,15252,medium,False,True,False,False,0
train,ROIs1970_83_patch_14,0.06329235,0.1781453,0.05606033,0.2506346,0.0,0,empty/not-detected,True,False,True,False,2
train,ROIs1868_127_patch_263,0.103310056,0.5318785,0.11321215,0.32659474,0.002105712890625,138,light,True,False,True,False,0
train,ROIs2017_69_patch_218,0.043069832,0.68098414,0.05308868,0.2345854,0.0001220703125,8,light,False,True,False,False,0
train,ROIs1970_83_patch_113,0.09184416,0.14302723,0.08985122,0.27503347,0.012115478515625,794,light,True,False,False,True,2
train,ROIs1970_83_patch_132,0.07722741,0.113921374,0.086425565,0.24505873,0.001251220703125,82,light,True,False,False,False,0
train,ROIs1970_57_patch_86,0.05984643,0.07599777,0.083927274,0.096514426,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_57_patch_29,0.085941955,0.10884122,0.096046984,0.11187614,0.006744384765625,442,light,True,False,False,False,0
train,ROIs2017_69_patch_95,0.04159017,0.59065557,0.049507175,0.53104335,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_57_patch_217,0.0570383,0.07059246,0.08448894,0.100115776,4.57763671875e-05,3,light,True,False,True,False,0
train,ROIs2017_130_patch_209,0.11540237,0.09486469,0.08128939,0.10517013,0.0670013427734375,4391,light,True,False,False,True,2
train,ROIs2017_69_patch_231,0.042118564,0.6478101,0.04994031,0.39533308,0.0,0,empty/not-detected,False,True,False,False,0
train,ROIs2017_115_patch_27,0.07550667,0.058463857,0.34623298,0.7233798,7.62939453125e-05,5,light,True,False,True,False,1
train,ROIs2017_69_patch_71,0.032057233,0.49949744,0.038023237,0.618284,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_112_patch_121,0.1527066,0.22021744,0.040622033,0.6283532,0.3768310546875,24696,heavy,False,True,False,True,2
train,ROIs2017_115_patch_175,0.06601963,0.06324763,0.17438665,0.7081971,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs1970_83_patch_152,0.07710858,0.13392295,0.10880363,0.35036823,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_83_patch_33,0.0606715,0.15252438,0.059421457,0.29570526,0.0016632080078125,109,light,False,True,False,True,2
train,ROIs2017_69_patch_85,0.031793036,0.5950157,0.034611702,0.51833236,4.57763671875e-05,3,light,True,False,False,False,0
train,ROIs1970_83_patch_262,0.0821857,0.26248497,0.090028115,0.19375847,0.00274658203125,180,light,False,True,False,False,0
train,ROIs1868_127_patch_19,0.08088839,0.708328,0.088590555,0.5063888,0.0006866455078125,45,light,True,False,True,False,0
train,ROIs2017_115_patch_284,0.06252981,0.065184206,0.07695772,0.670948,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_210,0.12000361,0.106428355,0.09656664,0.108318396,0.068145751953125,4466,light,True,False,False,True,2
train,ROIs2017_69_patch_279,0.037958283,0.6630676,0.04274128,0.21350159,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_197,0.12461282,0.11837296,0.12116042,0.1274709,0.0766143798828125,5021,light,False,True,False,True,1
train,ROIs2017_69_patch_274,0.042062484,0.655163,0.04708051,0.37408942,0.0,0,empty/not-detected,False,True,False,False,0
train,ROIs1970_112_patch_264,0.683433,0.39801753,0.08843058,0.23440407,1.0,65536,heavy,False,True,False,True,2
train,ROIs1970_83_patch_178,0.09945883,0.11156461,0.10034886,0.21826008,0.037841796875,2480,light,True,False,False,False,0
train,ROIs1970_112_patch_268,0.615454,0.07958482,0.33444798,0.31384474,1.0,65536,heavy,True,False,False,True,1
train,ROIs1970_83_patch_222,0.08677991,0.16793956,0.10220096,0.22606696,6.103515625e-05,4,light,False,True,False,False,0
train,ROIs1970_57_patch_106,0.069416836,0.08186428,0.09176329,0.10207056,1.52587890625e-05,1,light,True,False,False,False,0
train,ROIs1970_112_patch_15,0.20043811,0.2184281,0.053872336,0.7123772,0.3538055419921875,23187,heavy,False,True,False,True,2
train,ROIs1970_112_patch_39,0.12363559,0.13161856,0.021210996,0.696438,0.274261474609375,17974,medium,True,False,False,True,2
train,ROIs2017_69_patch_249,0.046543196,0.6753593,0.05754681,0.3761534,0.00048828125,32,light,False,True,False,False,0
train,ROIs1970_83_patch_264,0.069432065,0.15579642,0.07557024,0.16558903,0.0011444091796875,75,light,False,True,False,False,0
train,ROIs1970_57_patch_12,0.08085649,0.110940605,0.08936924,0.11450704,0.0146026611328125,957,light,True,False,False,False,0
train,ROIs1970_57_patch_157,0.061202116,0.07346916,0.09722992,0.095855996,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_69_patch_67,0.029705439,0.6004289,0.03530355,0.46872294,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1868_127_patch_145,0.100804165,0.24701715,0.11153824,0.214331,0.02435302734375,1596,light,False,True,False,False,0
train,ROIs1970_83_patch_24,0.081109956,0.113903835,0.0776823,0.31810924,0.0140380859375,920,light,True,False,False,True,2
train,ROIs1970_57_patch_109,0.059854012,0.07273263,0.089039095,0.095802374,0.0001220703125,8,light,True,False,False,False,0
train,ROIs1970_57_patch_125,0.05474304,0.066974655,0.08805971,0.09649807,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1868_127_patch_169,0.093411535,0.3377853,0.11418887,0.3979292,0.003662109375,240,light,False,True,False,False,0
train,ROIs1970_83_patch_256,0.08540245,0.20150425,0.09917838,0.2815865,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1868_127_patch_171,0.08835888,0.41391036,0.10083613,0.38438436,0.0067596435546875,443,light,True,False,False,False,0
train,ROIs2017_130_patch_164,0.0956828,0.076015905,0.07167206,0.12161294,0.0099334716796875,651,light,False,True,False,True,2
train,ROIs2017_130_patch_105,0.10355454,0.09899495,0.09366235,0.112888664,0.022003173828125,1442,light,False,True,False,True,2
train,ROIs1970_112_patch_21,0.39615363,0.09327371,0.021402666,0.70501226,0.866119384765625,56762,heavy,True,False,False,True,2
train,ROIs2017_130_patch_6,0.10608648,0.10481152,0.10415887,0.12870416,0.0016937255859375,111,light,True,False,True,False,2
train,ROIs2017_115_patch_160,0.05819732,0.058020283,0.07440019,0.7338845,3.0517578125e-05,2,light,True,False,False,True,1
train,ROIs2017_69_patch_6,0.031156063,0.6333724,0.033064514,0.47096866,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_69_patch_111,0.04107898,0.4285524,0.047457166,0.63234437,6.103515625e-05,4,light,True,False,True,False,0
train,ROIs2017_130_patch_78,0.09802942,0.07010707,0.06890138,0.10758578,0.03826904296875,2508,light,False,True,False,True,2
train,ROIs2017_115_patch_227,0.06670544,0.06841247,0.5527325,0.7082657,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_69_patch_166,0.03804657,0.557799,0.045230374,0.41250184,0.0,0,empty/not-detected,False,True,False,False,0
train,ROIs1970_112_patch_99,0.12515776,0.14509706,0.09287383,0.66077787,0.215576171875,14128,medium,False,True,False,True,2
train,ROIs2017_130_patch_0,0.09810498,0.049564652,0.04188737,0.114737585,0.0521087646484375,3415,light,True,False,True,False,2
train,ROIs1970_112_patch_255,0.6507524,0.05563177,0.06694727,0.60584587,1.0,65536,heavy,False,True,False,True,1
train,ROIs1868_127_patch_167,0.10149961,0.31667876,0.10778578,0.27786258,0.112579345703125,7378,medium,False,True,False,False,0
train,ROIs2017_115_patch_41,0.0674386,0.064012624,0.10587982,0.7075867,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs2017_130_patch_65,0.088721536,0.06995875,0.08371037,0.19534586,0.0006256103515625,41,light,False,True,False,True,1
train,ROIs1970_83_patch_79,0.1106278,0.11886588,0.103132136,0.21451302,0.212860107421875,13950,medium,False,True,False,True,2
train,ROIs1970_112_patch_258,0.6323417,0.06325951,0.087563455,0.68284893,1.0,65536,heavy,True,False,False,True,1
train,ROIs2017_130_patch_94,0.10202967,0.076544955,0.07317329,0.11303316,0.06524658203125,4276,light,True,False,False,True,2
train,ROIs2017_130_patch_252,0.09028664,0.07631518,0.07877537,0.112542294,0.0093841552734375,615,light,True,False,True,False,1
train,ROIs1970_57_patch_230,0.056506414,0.0648834,0.10053143,0.08832227,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_112_patch_89,0.3590935,0.2402069,0.2261003,0.5475553,0.8440704345703125,55317,heavy,False,True,False,True,2
train,ROIs1970_83_patch_128,0.0786218,0.14100221,0.08568519,0.23083617,0.0011749267578125,77,light,True,False,True,False,0
train,ROIs1970_112_patch_237,0.6660191,0.05834918,0.04581823,0.6925931,1.0,65536,heavy,True,False,False,True,2
train,ROIs1970_83_patch_89,0.08959161,0.13037257,0.0867229,0.2950813,0.030548095703125,2002,light,True,False,False,True,2
train,ROIs2017_130_patch_251,0.13499074,0.14144309,0.12677196,0.14359254,0.137298583984375,8998,medium,True,False,False,True,2
train,ROIs2017_115_patch_234,0.053387966,0.05519234,0.6066235,0.6606873,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_115_patch_69,0.07815751,0.07682297,0.09133692,0.71032465,0.0001373291015625,9,light,True,False,True,False,1
train,ROIs2017_130_patch_14,0.10973292,0.06676078,0.06305838,0.09896119,0.13543701171875,8876,medium,False,True,False,True,2
train,ROIs1970_83_patch_96,0.07902973,0.12493534,0.11236541,0.21921606,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_77,0.10008518,0.07909269,0.07315688,0.10810366,0.043670654296875,2862,light,True,False,True,False,2
train,ROIs1970_83_patch_252,0.082295276,0.14400098,0.09634012,0.36869308,0.00079345703125,52,light,False,True,False,False,0
train,ROIs2017_69_patch_252,0.041477516,0.6893498,0.049637392,0.2799785,4.57763671875e-05,3,light,True,False,False,False,0
train,ROIs1868_127_patch_248,0.09791842,0.51355535,0.10775942,0.48244736,0.002960205078125,194,light,True,False,True,False,0
train,ROIs2017_69_patch_132,0.036287803,0.5169749,0.042842142,0.6508066,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_255,0.0767173,0.062414702,0.07831751,0.08502532,0.0060882568359375,399,light,True,False,True,False,1
train,ROIs1970_112_patch_13,0.053869754,0.33576182,0.036998015,0.70759517,0.0631256103515625,4137,light,False,True,False,True,2
train,ROIs1970_112_patch_122,0.09206481,0.24378093,0.04336028,0.68321705,0.14697265625,9632,medium,False,True,False,True,2
train,ROIs2017_115_patch_210,0.06903787,0.067475975,0.5940546,0.63022256,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs2017_69_patch_15,0.035437685,0.5462489,0.039546177,0.6022834,0.0001373291015625,9,light,True,False,False,False,0
train,ROIs1868_127_patch_242,0.09957267,0.5169595,0.109351814,0.2826968,0.043914794921875,2878,light,False,True,False,False,0
train,ROIs2017_130_patch_34,0.10978853,0.10090978,0.07977531,0.11713128,0.106201171875,6960,medium,False,True,False,True,2
train,ROIs1970_83_patch_12,0.06448921,0.1442157,0.059910208,0.30592522,0.0010528564453125,69,light,False,True,False,True,2
train,ROIs1868_127_patch_159,0.08982511,0.6211837,0.09486118,0.47602046,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1868_127_patch_204,0.09642866,0.44028962,0.11204556,0.39841014,0.0157012939453125,1029,light,False,True,False,False,0
train,ROIs1970_57_patch_235,0.05546599,0.07111465,0.08560523,0.10384081,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_69_patch_192,0.037873447,0.6359356,0.04443948,0.5339385,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_112_patch_230,0.54467106,0.09898526,0.3087119,0.4479761,1.0,65536,heavy,False,True,False,True,1
train,ROIs2017_115_patch_272,0.07051903,0.070951924,0.3918995,0.6686496,0.0001983642578125,13,light,True,False,True,False,0
train,ROIs1970_57_patch_160,0.056878485,0.067050874,0.09102814,0.09192824,6.103515625e-05,4,light,True,False,False,False,0
train,ROIs2017_115_patch_185,0.06584377,0.06615265,0.49457294,0.6754904,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_115_patch_22,0.0642219,0.061112627,0.15720947,0.7103343,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs1868_127_patch_149,0.10353937,0.17484817,0.11354962,0.38685402,0.1561279296875,10232,medium,False,True,False,False,0
train,ROIs2017_130_patch_75,0.09771525,0.062782384,0.05632398,0.10854841,0.0432586669921875,2835,light,False,True,False,True,2
train,ROIs2017_115_patch_178,0.061826963,0.06197653,0.086784996,0.70263404,0.00018310546875,12,light,True,False,True,False,0
train,ROIs2017_69_patch_103,0.035308037,0.58490777,0.039200407,0.37778795,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_112_patch_77,0.06240998,0.13064209,0.053072933,0.6538733,0.0821380615234375,5383,light,False,True,False,True,2
train,ROIs1970_57_patch_150,0.059746463,0.07620353,0.084045656,0.114001006,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_112_patch_198,0.5807265,0.064975165,0.023278251,0.5923573,1.0,65536,heavy,True,False,False,True,2
train,ROIs2017_69_patch_91,0.03634486,0.43394247,0.04175633,0.6388707,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_115_patch_154,0.05672122,0.0550492,0.24570183,0.7167335,0.000152587890625,10,light,True,False,True,False,1
train,ROIs2017_115_patch_46,0.071790725,0.06050762,0.33591938,0.7184052,0.000335693359375,22,light,True,False,True,False,1
train,ROIs1970_83_patch_73,0.0695658,0.14263293,0.080091976,0.27739343,0.00225830078125,148,light,True,False,True,False,0
train,ROIs2017_130_patch_136,0.09758948,0.08704076,0.09318115,0.1363496,0.0016632080078125,109,light,False,True,False,True,1
train,ROIs1970_57_patch_81,0.06783265,0.086769566,0.08485423,0.111974515,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_57_patch_45,0.07244504,0.0996789,0.08617227,0.11511086,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_130_patch_158,0.103281185,0.08303115,0.09617004,0.11698079,0.0507354736328125,3325,light,False,True,False,True,1
train,ROIs1868_127_patch_121,0.08619965,0.52180254,0.09075259,0.4843837,0.01898193359375,1244,light,True,False,True,False,0
train,ROIs2017_115_patch_28,0.087604865,0.06143962,0.28958997,0.72932154,0.0080718994140625,529,light,True,False,True,False,1
train,ROIs1970_83_patch_51,0.062089693,0.12753585,0.0640582,0.32449004,0.0005035400390625,33,light,True,False,False,False,0
train,ROIs2017_115_patch_87,0.079857506,0.077467605,0.09402363,0.7284231,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs2017_130_patch_40,0.09974522,0.09846489,0.0927162,0.114833176,0.0,0,empty/not-detected,True,False,False,False,2
train,ROIs1868_127_patch_114,0.10666402,0.1443439,0.11448849,0.36179507,0.1310882568359375,8591,medium,False,True,False,False,0
train,ROIs1970_112_patch_204,0.5810142,0.06515952,0.047793217,0.75144154,1.0,65536,heavy,False,True,False,True,2
train,ROIs2017_130_patch_41,0.1015993,0.075801805,0.06970528,0.10785085,0.0656280517578125,4301,light,True,False,False,True,2
train,ROIs1868_127_patch_195,0.09328264,0.30607894,0.10112378,0.43868393,0.0081329345703125,533,light,True,False,True,False,0
train,ROIs2017_115_patch_64,0.068804756,0.06547943,0.09428124,0.7044346,0.000396728515625,26,light,True,False,True,False,1
train,ROIs1970_57_patch_46,0.087011606,0.11495705,0.09599594,0.10846752,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_112_patch_114,0.23135534,0.12207998,0.029619122,0.74018997,0.815521240234375,53446,heavy,False,True,False,True,2
train,ROIs2017_69_patch_45,0.027852088,0.57999974,0.032327354,0.5453284,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_112_patch_28,0.18311757,0.15680946,0.08772622,0.6646204,0.3081207275390625,20193,heavy,False,True,False,True,2
train,ROIs1970_112_patch_38,0.18692726,0.09503105,0.021170633,0.7043706,0.546142578125,35792,heavy,True,False,False,True,2
train,ROIs1970_112_patch_259,0.61111456,0.055232093,0.13962455,0.6416811,1.0,65536,heavy,True,False,False,True,1
train,ROIs1970_83_patch_106,0.08471127,0.1609508,0.08555438,0.24715237,0.007354736328125,482,light,True,False,False,False,0
train,ROIs1970_112_patch_205,0.31624478,0.071257964,0.16215059,0.69790745,0.8560333251953125,56101,heavy,False,True,False,True,1
train,ROIs1970_83_patch_197,0.08798662,0.094650276,0.10044057,0.29570898,0.01336669921875,876,light,True,False,False,False,0
train,ROIs2017_69_patch_176,0.041525383,0.61054206,0.047339965,0.31418416,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_69_patch_20,0.046064697,0.61606306,0.04829203,0.5241912,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_83_patch_119,0.084359005,0.16747287,0.09686405,0.2561102,0.0007781982421875,51,light,False,True,False,False,0
train,ROIs2017_130_patch_233,0.13791254,0.12983014,0.12717323,0.12594205,0.4454803466796875,29195,heavy,True,False,False,True,3
train,ROIs1970_57_patch_20,0.072367534,0.094459444,0.08517537,0.111205675,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_130_patch_87,0.117199,0.12016511,0.10881989,0.10243641,0.0849456787109375,5567,light,False,True,False,True,3
train,ROIs1970_112_patch_115,0.19236115,0.18541962,0.044705074,0.72861606,0.615447998046875,40334,heavy,False,True,False,True,2
train,ROIs1970_83_patch_237,0.07832737,0.14482653,0.08925979,0.2678005,0.0003662109375,24,light,True,False,True,False,0
train,ROIs2017_69_patch_260,0.035111994,0.7322378,0.039000023,0.15634252,0.0006103515625,40,light,False,True,False,False,0
train,ROIs1970_57_patch_216,0.050124746,0.061267287,0.08314644,0.09277416,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_69_patch_258,0.04365096,0.697716,0.048700076,0.110495694,6.103515625e-05,4,light,True,False,False,False,0
train,ROIs1970_112_patch_215,0.34627172,0.10446732,0.12498819,0.57270306,0.7461700439453125,48901,heavy,False,True,False,True,1
train,ROIs2017_115_patch_213,0.06666533,0.06656451,0.4734308,0.6546853,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs2017_69_patch_241,0.03701934,0.63350517,0.0420572,0.108831495,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_112_patch_108,0.14576064,0.18888977,0.022116523,0.71758515,0.43505859375,28512,heavy,True,False,False,True,2
train,ROIs1868_127_patch_206,0.08922396,0.4419486,0.0999386,0.44532692,0.0065155029296875,427,light,True,False,True,False,0
train,ROIs1868_127_patch_61,0.09537045,0.20188588,0.101406276,0.5380719,0.036773681640625,2410,light,True,False,True,False,0
train,ROIs2017_69_patch_127,0.038339626,0.47803456,0.043253154,0.6670439,7.62939453125e-05,5,light,True,False,False,False,0
train,ROIs2017_115_patch_255,0.065375164,0.06578439,0.0887462,0.65069467,0.0011749267578125,77,light,True,False,True,False,0
train,ROIs2017_69_patch_144,0.040338896,0.5253568,0.04632687,0.60597044,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_83_patch_267,0.08484805,0.29493362,0.10003967,0.3559077,0.0001373291015625,9,light,True,False,False,False,0
train,ROIs1868_127_patch_111,0.10372727,0.21471842,0.10510485,0.3578909,0.106781005859375,6998,medium,False,True,False,False,0
train,ROIs1970_57_patch_10,0.07254405,0.10364063,0.08501506,0.117904976,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_115_patch_277,0.060489487,0.06307634,0.07516794,0.70328194,0.0001983642578125,13,light,True,False,True,False,0
train,ROIs1970_112_patch_14,0.11591724,0.23428649,0.059927918,0.7120272,0.159027099609375,10422,medium,False,True,False,True,2
train,ROIs1970_83_patch_279,0.08984793,0.12846991,0.102292836,0.2804128,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1970_83_patch_85,0.1157317,0.15135352,0.10266734,0.27763075,0.1613616943359375,10575,medium,False,True,False,True,2
train,ROIs1970_57_patch_52,0.063992724,0.0854947,0.079765916,0.101744734,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_57_patch_172,0.07311146,0.084516756,0.09421563,0.097797915,0.000335693359375,22,light,True,False,False,False,0
train,ROIs2017_130_patch_89,0.13452181,0.14154547,0.10965416,0.11069572,0.3514556884765625,23033,heavy,True,False,False,True,2
train,ROIs2017_69_patch_25,0.029762398,0.60587096,0.03293602,0.47319344,0.0,0,empty/not-detected,True,False,True,False,0
