split,local_index,base_index,sample_id
train,73,1057,ROIs1970_83_patch_262
train,74,19,ROIs1868_127_patch_19
train,75,1364,ROIs2017_115_patch_284
train,76,1575,ROIs2017_130_patch_210
train,77,1914,ROIs2017_69_patch_279
train,78,1562,ROIs2017_130_patch_197
train,79,1909,ROIs2017_69_patch_274
train,80,534,ROIs1970_112_patch_264
train,81,973,ROIs1970_83_patch_178
train,82,538,ROIs1970_112_patch_268
train,83,1017,ROIs1970_83_patch_222
train,84,646,ROIs1970_57_patch_106
train,85,285,ROIs1970_112_patch_15
train,86,309,ROIs1970_112_patch_39
train,87,1884,ROIs2017_69_patch_249
train,88,1059,ROIs1970_83_patch_264
train,89,552,ROIs1970_57_patch_12
train,90,697,ROIs1970_57_patch_157
train,91,1702,ROIs2017_69_patch_67
train,92,145,ROIs1868_127_patch_145
train,93,819,ROIs1970_83_patch_24
train,94,649,ROIs1970_57_patch_109
train,95,665,ROIs1970_57_patch_125
train,96,169,ROIs1868_127_patch_169
train,97,1051,ROIs1970_83_patch_256
train,98,171,ROIs1868_127_patch_171
train,99,1529,ROIs2017_130_patch_164
train,100,1470,ROIs2017_130_patch_105
train,101,291,ROIs1970_112_patch_21
train,102,1371,ROIs2017_130_patch_6
train,103,1240,ROIs2017_115_patch_160
train,104,1641,ROIs2017_69_patch_6
train,105,1746,ROIs2017_69_patch_111
train,106,1443,ROIs2017_130_patch_78
train,107,1307,ROIs2017_115_patch_227
train,108,1801,ROIs2017_69_patch_166
train,109,369,ROIs1970_112_patch_99
train,110,1365,ROIs2017_130_patch_0
train,111,525,ROIs1970_112_patch_255
train,112,167,ROIs1868_127_patch_167
train,113,1121,ROIs2017_115_patch_41
train,114,1430,ROIs2017_130_patch_65
train,115,874,ROIs1970_83_patch_79
train,116,528,ROIs1970_112_patch_258
train,117,1459,ROIs2017_130_patch_94
train,118,1617,ROIs2017_130_patch_252
train,119,770,ROIs1970_57_patch_230
train,120,359,ROIs1970_112_patch_89
train,121,923,ROIs1970_83_patch_128
train,122,507,ROIs1970_112_patch_237
train,123,884,ROIs1970_83_patch_89
train,124,1616,ROIs2017_130_patch_251
train,125,1314,ROIs2017_115_patch_234
train,126,1149,ROIs2017_115_patch_69
train,127,1379,ROIs2017_130_patch_14
train,128,891,ROIs1970_83_patch_96
train,129,1442,ROIs2017_130_patch_77
train,130,1047,ROIs1970_83_patch_252
train,131,1887,ROIs2017_69_patch_252
train,132,248,ROIs1868_127_patch_248
train,133,1767,ROIs2017_69_patch_132
train,134,1620,ROIs2017_130_patch_255
train,135,283,ROIs1970_112_patch_13
train,136,392,ROIs1970_112_patch_122
train,137,1290,ROIs2017_115_patch_210
train,138,1650,ROIs2017_69_patch_15
train,139,242,ROIs1868_127_patch_242
train,140,1399,ROIs2017_130_patch_34
train,141,807,ROIs1970_83_patch_12
train,142,159,ROIs1868_127_patch_159
train,143,204,ROIs1868_127_patch_204
train,144,775,ROIs1970_57_patch_235
train,145,1827,ROIs2017_69_patch_192
train,146,500,ROIs1970_112_patch_230
train,147,1352,ROIs2017_115_patch_272
train,148,700,ROIs1970_57_patch_160
train,149,1265,ROIs2017_115_patch_185
train,150,1102,ROIs2017_115_patch_22
train,151,149,ROIs1868_127_patch_149
train,152,1440,ROIs2017_130_patch_75
train,153,1258,ROIs2017_115_patch_178
train,154,1738,ROIs2017_69_patch_103
train,155,347,ROIs1970_112_patch_77
train,156,690,ROIs1970_57_patch_150
train,157,468,ROIs1970_112_patch_198
train,158,1726,ROIs2017_69_patch_91
train,159,1234,ROIs2017_115_patch_154
train,160,1126,ROIs2017_115_patch_46
train,161,868,ROIs1970_83_patch_73
train,162,1501,ROIs2017_130_patch_136
train,163,621,ROIs1970_57_patch_81
train,164,585,ROIs1970_57_patch_45
train,165,1523,ROIs2017_130_patch_158
train,166,121,ROIs1868_127_patch_121
train,167,1108,ROIs2017_115_patch_28
train,168,846,ROIs1970_83_patch_51
train,169,1167,ROIs2017_115_patch_87
train,170,1405,ROIs2017_130_patch_40
train,171,114,ROIs1868_127_patch_114
train,172,474,ROIs1970_112_patch_204
train,173,1406,ROIs2017_130_patch_41
train,174,195,ROIs1868_127_patch_195
train,175,1144,ROIs2017_115_patch_64
train,176,586,ROIs1970_57_patch_46
train,177,384,ROIs1970_112_patch_114
train,178,1680,ROIs2017_69_patch_45
train,179,298,ROIs1970_112_patch_28
train,180,308,ROIs1970_112_patch_38
train,181,529,ROIs1970_112_patch_259
train,182,901,ROIs1970_83_patch_106
train,183,475,ROIs1970_112_patch_205
train,184,992,ROIs1970_83_patch_197
train,185,1811,ROIs2017_69_patch_176
train,186,1655,ROIs2017_69_patch_20
train,187,914,ROIs1970_83_patch_119
train,188,1598,ROIs2017_130_patch_233
train,189,560,ROIs1970_57_patch_20
train,190,1452,ROIs2017_130_patch_87
train,191,385,ROIs1970_112_patch_115
train,192,1032,ROIs1970_83_patch_237
train,193,1895,ROIs2017_69_patch_260
train,194,756,ROIs1970_57_patch_216
train,195,1893,ROIs2017_69_patch_258
train,196,485,ROIs1970_112_patch_215
train,197,1293,ROIs2017_115_patch_213
train,198,1876,ROIs2017_69_patch_241
train,199,378,ROIs1970_112_patch_108
train,200,206,ROIs1868_127_patch_206
train,201,61,ROIs1868_127_patch_61
train,202,1762,ROIs2017_69_patch_127
train,203,1335,ROIs2017_115_patch_255
train,204,1779,ROIs2017_69_patch_144
train,205,1062,ROIs1970_83_patch_267
train,206,111,ROIs1868_127_patch_111
train,207,550,ROIs1970_57_patch_10
train,208,1357,ROIs2017_115_patch_277
train,209,284,ROIs1970_112_patch_14
train,210,1074,ROIs1970_83_patch_279
train,211,880,ROIs1970_83_patch_85
train,212,592,ROIs1970_57_patch_52
train,213,712,ROIs1970_57_patch_172
train,214,1454,ROIs2017_130_patch_89
train,215,1660,ROIs2017_69_patch_25
train,216,1067,ROIs1970_83_patch_272
train,217,946,ROIs1970_83_patch_151
train,218,1011,ROIs1970_83_patch_216
train,219,193,ROIs1868_127_patch_193
train,220,1838,ROIs2017_69_patch_203
train,221,1072,ROIs1970_83_patch_277
train,222,1065,ROIs1970_83_patch_270
train,223,1267,ROIs2017_115_patch_187
train,224,1217,ROIs2017_115_patch_137
train,225,591,ROIs1970_57_patch_51
train,226,678,ROIs1970_57_patch_138
train,227,792,ROIs1970_57_patch_252
train,228,180,ROIs1868_127_patch_180
train,229,1313,ROIs2017_115_patch_233
train,230,69,ROIs1868_127_patch_69
train,231,84,ROIs1868_127_patch_84
train,232,1603,ROIs2017_130_patch_238
train,233,1775,ROIs2017_69_patch_140
train,234,201,ROIs1868_127_patch_201
train,235,1415,ROIs2017_130_patch_50
train,236,457,ROIs1970_112_patch_187
train,237,1359,ROIs2017_115_patch_279
train,238,400,ROIs1970_112_patch_130
train,239,1759,ROIs2017_69_patch_124
train,240,1081,ROIs2017_115_patch_1
train,241,554,ROIs1970_57_patch_14
train,242,471,ROIs1970_112_patch_201
train,243,1841,ROIs2017_69_patch_206
train,244,446,ROIs1970_112_patch_176
train,245,1670,ROIs2017_69_patch_35
train,246,688,ROIs1970_57_patch_148
train,247,140,ROIs1868_127_patch_140
train,248,1600,ROIs2017_130_patch_235
train,249,871,ROIs1970_83_patch_76
train,250,1093,ROIs2017_115_patch_13
train,251,460,ROIs1970_112_patch_190
train,252,1831,ROIs2017_69_patch_196
train,253,818,ROIs1970_83_patch_23
train,254,940,ROIs1970_83_patch_145
train,255,1128,ROIs2017_115_patch_48
train,256,614,ROIs1970_57_patch_74
train,257,1000,ROIs1970_83_patch_205
train,258,987,ROIs1970_83_patch_192
train,259,1048,ROIs1970_83_patch_253
train,260,72,ROIs1868_127_patch_72
train,261,465,ROIs1970_112_patch_195
train,262,804,ROIs1970_83_patch_9
train,263,1804,ROIs2017_69_patch_169
train,264,826,ROIs1970_83_patch_31
train,265,1006,ROIs1970_83_patch_211
train,266,1129,ROIs2017_115_patch_49
train,267,270,ROIs1970_112_patch_0
train,268,954,ROIs1970_83_patch_159
train,269,86,ROIs1868_127_patch_86
train,270,107,ROIs1868_127_patch_107
train,271,1744,ROIs2017_69_patch_109
train,272,751,ROIs1970_57_patch_211
train,273,1143,ROIs2017_115_patch_63
train,274,1554,ROIs2017_130_patch_189
train,275,1750,ROIs2017_69_patch_115
train,276,556,ROIs1970_57_patch_16
train,277,1692,ROIs2017_69_patch_57
train,278,664,ROIs1970_57_patch_124
train,279,943,ROIs1970_83_patch_148
train,280,907,ROIs1970_83_patch_112
train,281,1713,ROIs2017_69_patch_78
train,282,881,ROIs1970_83_patch_86
train,283,1793,ROIs2017_69_patch_158
train,284,849,ROIs1970_83_patch_54
train,285,972,ROIs1970_83_patch_177
train,286,264,ROIs1868_127_patch_264
train,287,1431,ROIs2017_130_patch_66
train,288,1040,ROIs1970_83_patch_245
train,289,1391,ROIs2017_130_patch_26
train,290,680,ROIs1970_57_patch_140
train,291,1864,ROIs2017_69_patch_229
train,292,724,ROIs1970_57_patch_184
train,293,1549,ROIs2017_130_patch_184
train,294,455,ROIs1970_112_patch_185
train,295,600,ROIs1970_57_patch_60
train,296,389,ROIs1970_112_patch_119
train,297,1301,ROIs2017_115_patch_221
train,298,1262,ROIs2017_115_patch_182
train,299,1073,ROIs1970_83_patch_278
train,300,1216,ROIs2017_115_patch_136
train,301,613,ROIs1970_57_patch_73
train,302,314,ROIs1970_112_patch_44
train,303,15,ROIs1868_127_patch_15
train,304,657,ROIs1970_57_patch_117
train,305,896,ROIs1970_83_patch_101
train,306,549,ROIs1970_57_patch_9
train,307,575,ROIs1970_57_patch_35
train,308,719,ROIs1970_57_patch_179
train,309,545,ROIs1970_57_patch_5
train,310,937,ROIs1970_83_patch_142
train,311,1585,ROIs2017_130_patch_220
train,312,165,ROIs1868_127_patch_165
train,313,1252,ROIs2017_115_patch_172
train,314,338,ROIs1970_112_patch_68
train,315,970,ROIs1970_83_patch_175
train,316,1366,ROIs2017_130_patch_1
train,317,1247,ROIs2017_115_patch_167
train,318,1024,ROIs1970_83_patch_229
train,319,14,ROIs1868_127_patch_14
train,320,855,ROIs1970_83_patch_60
train,321,212,ROIs1868_127_patch_212
train,322,887,ROIs1970_83_patch_92
train,323,977,ROIs1970_83_patch_182
train,324,1225,ROIs2017_115_patch_145
train,325,776,ROIs1970_57_patch_236
train,326,10,ROIs1868_127_patch_10
train,327,1903,ROIs2017_69_patch_268
train,328,1423,ROIs2017_130_patch_58
train,329,596,ROIs1970_57_patch_56
train,330,726,ROIs1970_57_patch_186
train,331,431,ROIs1970_112_patch_161
train,332,959,ROIs1970_83_patch_164
train,333,1159,ROIs2017_115_patch_79
train,334,1033,ROIs1970_83_patch_238
train,335,1458,ROIs2017_130_patch_93
train,336,1196,ROIs2017_115_patch_116
train,337,1526,ROIs2017_130_patch_161
train,338,317,ROIs1970_112_patch_47
train,339,1358,ROIs2017_115_patch_278
train,340,454,ROIs1970_112_patch_184
train,341,1647,ROIs2017_69_patch_12
train,342,976,ROIs1970_83_patch_181
train,343,773,ROIs1970_57_patch_233
train,344,1786,ROIs2017_69_patch_151
train,345,1462,ROIs2017_130_patch_97
train,346,488,ROIs1970_112_patch_218
train,347,41,ROIs1868_127_patch_41
train,348,571,ROIs1970_57_patch_31
train,349,1464,ROIs2017_130_patch_99
train,350,599,ROIs1970_57_patch_59
train,351,979,ROIs1970_83_patch_184
train,352,864,ROIs1970_83_patch_69
train,353,18,ROIs1868_127_patch_18
train,354,306,ROIs1970_112_patch_36
train,355,1299,ROIs2017_115_patch_219
train,356,797,ROIs1970_83_patch_2
train,357,332,ROIs1970_112_patch_62
train,358,1424,ROIs2017_130_patch_59
train,359,1286,ROIs2017_115_patch_206
train,360,66,ROIs1868_127_patch_66
train,361,51,ROIs1868_127_patch_51
train,362,1230,ROIs2017_115_patch_150
train,363,1527,ROIs2017_130_patch_162
train,364,1042,ROIs1970_83_patch_247
train,365,762,ROIs1970_57_patch_222
train,366,219,ROIs1868_127_patch_219
train,367,487,ROIs1970_112_patch_217
train,368,1026,ROIs1970_83_patch_231
train,369,1282,ROIs2017_115_patch_202
train,370,1285,ROIs2017_115_patch_205
train,371,1503,ROIs2017_130_patch_138
train,372,1597,ROIs2017_130_patch_232
train,373,1573,ROIs2017_130_patch_208
train,374,758,ROIs1970_57_patch_218
train,375,999,ROIs1970_83_patch_204
train,376,30,ROIs1868_127_patch_30
train,377,1215,ROIs2017_115_patch_135
train,378,1315,ROIs2017_115_patch_235
train,379,1227,ROIs2017_115_patch_147
train,380,387,ROIs1970_112_patch_117
train,381,1867,ROIs2017_69_patch_232
train,382,1421,ROIs2017_130_patch_56
train,383,220,ROIs1868_127_patch_220
train,384,932,ROIs1970_83_patch_137
train,385,1829,ROIs2017_69_patch_194
train,386,26,ROIs1868_127_patch_26
train,387,1822,ROIs2017_69_patch_187
train,388,290,ROIs1970_112_patch_20
train,389,1088,ROIs2017_115_patch_8
train,390,1902,ROIs2017_69_patch_267
train,391,429,ROIs1970_112_patch_159
train,392,463,ROIs1970_112_patch_193
train,393,197,ROIs1868_127_patch_197
train,394,1156,ROIs2017_115_patch_76
train,395,1539,ROIs2017_130_patch_174
train,396,1491,ROIs2017_130_patch_126
train,397,1027,ROIs1970_83_patch_232
train,398,1901,ROIs2017_69_patch_266
train,399,733,ROIs1970_57_patch_193
train,400,1879,ROIs2017_69_patch_244
train,401,833,ROIs1970_83_patch_38
train,402,278,ROIs1970_112_patch_8
train,403,1251,ROIs2017_115_patch_171
train,404,1899,ROIs2017_69_patch_264
train,405,1642,ROIs2017_69_patch_7
train,406,73,ROIs1868_127_patch_73
train,407,272,ROIs1970_112_patch_2
train,408,1019,ROIs1970_83_patch_224
train,409,1084,ROIs2017_115_patch_4
train,410,1346,ROIs2017_115_patch_266
train,411,1803,ROIs2017_69_patch_168
train,412,845,ROIs1970_83_patch_50
train,413,568,ROIs1970_57_patch_28
train,414,286,ROIs1970_112_patch_16
train,415,76,ROIs1868_127_patch_76
train,416,956,ROIs1970_83_patch_161
train,417,1237,ROIs2017_115_patch_157
train,418,48,ROIs1868_127_patch_48
train,419,939,ROIs1970_83_patch_144
train,420,1601,ROIs2017_130_patch_236
train,421,481,ROIs1970_112_patch_211
train,422,1187,ROIs2017_115_patch_107
train,423,176,ROIs1868_127_patch_176
train,424,1231,ROIs2017_115_patch_151
train,425,1545,ROIs2017_130_patch_180
train,426,1664,ROIs2017_69_patch_29
train,427,1244,ROIs2017_115_patch_164
train,428,87,ROIs1868_127_patch_87
train,429,47,ROIs1868_127_patch_47
train,430,194,ROIs1868_127_patch_194
train,431,1586,ROIs2017_130_patch_221
train,432,1316,ROIs2017_115_patch_236
train,433,1125,ROIs2017_115_patch_45
train,434,1649,ROIs2017_69_patch_14
train,435,1077,ROIs1970_83_patch_282
train,436,995,ROIs1970_83_patch_200
train,437,1665,ROIs2017_69_patch_30
train,438,1428,ROIs2017_130_patch_63
train,439,1219,ROIs2017_115_patch_139
train,440,1712,ROIs2017_69_patch_77
train,441,1038,ROIs1970_83_patch_243
train,442,542,ROIs1970_57_patch_2
train,443,998,ROIs1970_83_patch_203
train,444,70,ROIs1868_127_patch_70
train,445,929,ROIs1970_83_patch_134
train,446,1648,ROIs2017_69_patch_13
train,447,476,ROIs1970_112_patch_206
train,448,886,ROIs1970_83_patch_91
train,449,1134,ROIs2017_115_patch_54
train,450,1733,ROIs2017_69_patch_98
train,451,854,ROIs1970_83_patch_59
train,452,853,ROIs1970_83_patch_58
train,453,1283,ROIs2017_115_patch_203
train,454,1432,ROIs2017_130_patch_67
train,455,1723,ROIs2017_69_patch_88
train,456,1269,ROIs2017_115_patch_189
train,457,281,ROIs1970_112_patch_11
train,458,1174,ROIs2017_115_patch_94
train,459,110,ROIs1868_127_patch_110
train,460,1685,ROIs2017_69_patch_50
train,461,1868,ROIs2017_69_patch_233
train,462,777,ROIs1970_57_patch_237
train,463,1522,ROIs2017_130_patch_157
train,464,353,ROIs1970_112_patch_83
train,465,798,ROIs1970_83_patch_3
train,466,1773,ROIs2017_69_patch_138
train,467,409,ROIs1970_112_patch_139
train,468,768,ROIs1970_57_patch_228
train,469,1273,ROIs2017_115_patch_193
train,470,1490,ROIs2017_130_patch_125
train,471,221,ROIs1868_127_patch_221
train,472,1154,ROIs2017_115_patch_74
train,473,1499,ROIs2017_130_patch_134
train,474,71,ROIs1868_127_patch_71
train,475,1637,ROIs2017_69_patch_2
train,476,720,ROIs1970_57_patch_180
train,477,1850,ROIs2017_69_patch_215
train,478,1198,ROIs2017_115_patch_118
train,479,1755,ROIs2017_69_patch_120
train,480,1915,ROIs2017_69_patch_280
train,481,716,ROIs1970_57_patch_176
train,482,1900,ROIs2017_69_patch_265
train,483,1835,ROIs2017_69_patch_200
train,484,672,ROIs1970_57_patch_132
train,485,319,ROIs1970_112_patch_49
train,486,1536,ROIs2017_130_patch_171
train,487,226,ROIs1868_127_patch_226
train,488,1472,ROIs2017_130_patch_107
train,489,1602,ROIs2017_130_patch_237
train,490,969,ROIs1970_83_patch_174
train,491,492,ROIs1970_112_patch_222
train,492,428,ROIs1970_112_patch_158
train,493,895,ROIs1970_83_patch_100
train,494,814,ROIs1970_83_patch_19
train,495,1133,ROIs2017_115_patch_53
train,496,62,ROIs1868_127_patch_62
train,497,656,ROIs1970_57_patch_116
train,498,1722,ROIs2017_69_patch_87
train,499,1621,ROIs2017_130_patch_256
train,500,1142,ROIs2017_115_patch_62
train,501,1087,ROIs2017_115_patch_7
train,502,524,ROIs1970_112_patch_254
train,503,1590,ROIs2017_130_patch_225
train,504,1030,ROIs1970_83_patch_235
train,505,650,ROIs1970_57_patch_110
train,506,1451,ROIs2017_130_patch_86
train,507,1913,ROIs2017_69_patch_278
train,508,1259,ROIs2017_115_patch_179
train,509,1917,ROIs2017_69_patch_282
train,510,544,ROIs1970_57_patch_4
train,511,377,ROIs1970_112_patch_107
train,512,862,ROIs1970_83_patch_67
train,513,1202,ROIs2017_115_patch_122
train,514,1177,ROIs2017_115_patch_97
train,515,1274,ROIs2017_115_patch_194
train,516,1123,ROIs2017_115_patch_43
train,517,617,ROIs1970_57_patch_77
train,518,605,ROIs1970_57_patch_65
train,519,1106,ROIs2017_115_patch_26
train,520,1855,ROIs2017_69_patch_220
train,521,422,ROIs1970_112_patch_152
train,522,1769,ROIs2017_69_patch_134
train,523,362,ROIs1970_112_patch_92
train,524,1721,ROIs2017_69_patch_86
train,525,1329,ROIs2017_115_patch_249
train,526,1206,ROIs2017_115_patch_126
train,527,1506,ROIs2017_130_patch_141
train,528,135,ROIs1868_127_patch_135
train,529,1320,ROIs2017_115_patch_240
train,530,217,ROIs1868_127_patch_217
train,531,120,ROIs1868_127_patch_120
train,532,1120,ROIs2017_115_patch_40
train,533,1836,ROIs2017_69_patch_201
train,534,710,ROIs1970_57_patch_170
train,535,717,ROIs1970_57_patch_177
train,536,1799,ROIs2017_69_patch_164
train,537,1557,ROIs2017_130_patch_192
train,538,722,ROIs1970_57_patch_182
train,539,1694,ROIs2017_69_patch_59
train,540,405,ROIs1970_112_patch_135
train,541,375,ROIs1970_112_patch_105
train,542,1034,ROIs1970_83_patch_239
train,543,260,ROIs1868_127_patch_260
train,544,1496,ROIs2017_130_patch_131
train,545,411,ROIs1970_112_patch_141
train,546,1672,ROIs2017_69_patch_37
train,547,28,ROIs1868_127_patch_28
train,548,637,ROIs1970_57_patch_97
train,549,373,ROIs1970_112_patch_103
train,550,1808,ROIs2017_69_patch_173
train,551,134,ROIs1868_127_patch_134
train,552,1012,ROIs1970_83_patch_217
train,553,536,ROIs1970_112_patch_266
train,554,1752,ROIs2017_69_patch_117
train,555,983,ROIs1970_83_patch_188
train,556,1135,ROIs2017_115_patch_55
train,557,1576,ROIs2017_130_patch_211
train,558,483,ROIs1970_112_patch_213
train,559,13,ROIs1868_127_patch_13
train,560,404,ROIs1970_112_patch_134
train,561,841,ROIs1970_83_patch_46
train,562,1172,ROIs2017_115_patch_92
train,563,1041,ROIs1970_83_patch_246
train,564,1843,ROIs2017_69_patch_208
train,565,161,ROIs1868_127_patch_161
train,566,847,ROIs1970_83_patch_52
train,567,1369,ROIs2017_130_patch_4
train,568,1910,ROIs2017_69_patch_275
train,569,1782,ROIs2017_69_patch_147
train,570,1671,ROIs2017_69_patch_36
train,571,1376,ROIs2017_130_patch_11
train,572,1856,ROIs2017_69_patch_221
train,573,498,ROIs1970_112_patch_228
train,574,806,ROIs1970_83_patch_11
train,575,635,ROIs1970_57_patch_95
train,576,1212,ROIs2017_115_patch_132
train,577,438,ROIs1970_112_patch_168
train,578,835,ROIs1970_83_patch_40
train,579,1849,ROIs2017_69_patch_214
train,580,1109,ROIs2017_115_patch_29
train,581,1349,ROIs2017_115_patch_269
train,582,1043,ROIs1970_83_patch_248
train,583,2,ROIs1868_127_patch_2
train,584,466,ROIs1970_112_patch_196
train,585,610,ROIs1970_57_patch_70
train,586,1165,ROIs2017_115_patch_85
train,587,885,ROIs1970_83_patch_90
train,588,951,ROIs1970_83_patch_156
train,589,344,ROIs1970_112_patch_74
train,590,300,ROIs1970_112_patch_30
train,591,1807,ROIs2017_69_patch_172
train,592,1908,ROIs2017_69_patch_273
train,593,287,ROIs1970_112_patch_17
train,594,1877,ROIs2017_69_patch_242
train,595,705,ROIs1970_57_patch_165
train,596,1872,ROIs2017_69_patch_237
train,597,1581,ROIs2017_130_patch_216
train,598,985,ROIs1970_83_patch_190
train,599,328,ROIs1970_112_patch_58
train,600,708,ROIs1970_57_patch_168
train,601,730,ROIs1970_57_patch_190
train,602,350,ROIs1970_112_patch_80
train,603,307,ROIs1970_112_patch_37
train,604,146,ROIs1868_127_patch_146
train,605,840,ROIs1970_83_patch_45
train,606,1180,ROIs2017_115_patch_100
train,607,494,ROIs1970_112_patch_224
train,608,16,ROIs1868_127_patch_16
train,609,555,ROIs1970_57_patch_15
train,610,1368,ROIs2017_130_patch_3
train,611,1780,ROIs2017_69_patch_145
train,612,779,ROIs1970_57_patch_239
train,613,1771,ROIs2017_69_patch_136
train,614,1203,ROIs2017_115_patch_123
train,615,1754,ROIs2017_69_patch_119
train,616,744,ROIs1970_57_patch_204
train,617,863,ROIs1970_83_patch_68
train,618,1684,ROIs2017_69_patch_49
train,619,639,ROIs1970_57_patch_99
train,620,1919,ROIs2017_69_patch_284
train,621,738,ROIs1970_57_patch_198
train,622,938,ROIs1970_83_patch_143
train,623,1053,ROIs1970_83_patch_258
train,624,618,ROIs1970_57_patch_78
train,625,91,ROIs1868_127_patch_91
train,626,1886,ROIs2017_69_patch_251
train,627,1028,ROIs1970_83_patch_233
train,628,472,ROIs1970_112_patch_202
train,629,1050,ROIs1970_83_patch_255
train,630,138,ROIs1868_127_patch_138
train,631,131,ROIs1868_127_patch_131
train,632,89,ROIs1868_127_patch_89
train,633,416,ROIs1970_112_patch_146
train,634,991,ROIs1970_83_patch_196
train,635,1254,ROIs2017_115_patch_174
train,636,467,ROIs1970_112_patch_197
train,637,227,ROIs1868_127_patch_227
train,638,1765,ROIs2017_69_patch_130
train,639,1634,ROIs2017_130_patch_269
train,640,1789,ROIs2017_69_patch_154
train,641,1622,ROIs2017_130_patch_257
train,642,1205,ROIs2017_115_patch_125
train,643,1874,ROIs2017_69_patch_239
train,644,839,ROIs1970_83_patch_44
train,645,1151,ROIs2017_115_patch_71
train,646,654,ROIs1970_57_patch_114
train,647,1182,ROIs2017_115_patch_102
train,648,815,ROIs1970_83_patch_20
train,649,470,ROIs1970_112_patch_200
train,650,670,ROIs1970_57_patch_130
train,651,150,ROIs1868_127_patch_150
train,652,718,ROIs1970_57_patch_178
train,653,352,ROIs1970_112_patch_82
train,654,1579,ROIs2017_130_patch_214
train,655,879,ROIs1970_83_patch_84
train,656,443,ROIs1970_112_patch_173
train,657,1690,ROIs2017_69_patch_55
train,658,32,ROIs1868_127_patch_32
train,659,435,ROIs1970_112_patch_165
train,660,1383,ROIs2017_130_patch_18
train,661,501,ROIs1970_112_patch_231
train,662,882,ROIs1970_83_patch_87
train,663,1085,ROIs2017_115_patch_5
train,664,1176,ROIs2017_115_patch_96
train,665,1382,ROIs2017_130_patch_17
train,666,1171,ROIs2017_115_patch_91
train,667,686,ROIs1970_57_patch_146
train,668,1140,ROIs2017_115_patch_60
train,669,1105,ROIs2017_115_patch_25
train,670,800,ROIs1970_83_patch_5
train,671,1516,ROIs2017_130_patch_151
train,672,1485,ROIs2017_130_patch_120
train,673,516,ROIs1970_112_patch_246
train,674,1475,ROIs2017_130_patch_110
train,675,1434,ROIs2017_130_patch_69
train,676,1911,ROIs2017_69_patch_276
train,677,889,ROIs1970_83_patch_94
train,678,239,ROIs1868_127_patch_239
train,679,652,ROIs1970_57_patch_112
train,680,1535,ROIs2017_130_patch_170
